  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      473        4.521        7.541            0      885.560      727.685      447.427
      474        4.794        7.309            0      864.098      729.252      418.067
      475        4.668        7.207            1      871.488      773.217      421.808
      476        4.683        6.977            0      850.858      725.224      399.665
      477        4.799        7.429            1      860.193      710.558      468.879
      478        4.623        7.081            0      852.625      720.316      401.075
      479        4.649        7.603            0      889.047      837.427      464.255
      480        4.875        7.610            0      869.705      709.497      438.310
      481        5.003        7.435            1      873.212      759.598      440.338
      482        5.012        7.438            0      874.561      791.133      394.641
      483        4.628        7.497            0      901.397      743.448      434.877
      484        4.970        7.577            1      876.928      796.160      402.833
      485        5.067        7.494            0      874.021      753.544      420.387
      486        4.751        7.563            1      884.866      826.924      424.179
      487        5.057        7.378            0      877.657      776.687      463.542
      488        4.985        7.549            1      879.879      807.329      449.871
      489        4.958        7.406            2      854.574      772.880      389.770
      490        4.644        7.762            0      881.390      779.453      442.850
      491        4.960        7.584            1      864.885      774.642      439.265
      492        4.669        7.146            0      871.997      829.330      396.206
      493        4.496        7.857            0      882.702      808.040      477.056
      494        4.658        7.477            1      857.510      865.840      470.151
      495        4.386        7.386            0      875.790      805.431      499.721
      496        4.379        7.156            0      866.888      779.905      523.191
      497        4.377        7.034            3      880.136      809.614      481.186
      498        4.420        7.659            1      875.629      778.648      486.869
      499        4.352        7.812            1      894.052      820.354      489.180
      500        4.546        7.127            1      871.032      777.119      473.832
      501        4.524        7.118            0      880.082      783.878      485.001
