  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      301        5.156        6.202            3      887.142     1128.553      363.356
      302        4.844        6.432            2      899.172     1145.538      408.905
      303        4.966        6.750            2      933.321     1146.023      374.529
      304        4.559        6.415            1      906.062     1146.985      402.811
      305        5.049        6.272            3      846.734     1070.014      367.791
      306        5.505        6.251            2      881.158     1085.725      377.898
      307        4.879        6.123            2      872.240      980.372      360.227
      308        4.935        5.964            3      847.676      936.579      335.060
      309        5.305        6.051            5      838.568      963.182      331.039
      310        5.032        6.046            4      858.712      965.541      340.756
      311        4.102        6.056            5      890.167     1104.722      360.165
      312        4.308        5.733            2      819.932     1049.728      388.660
      313        3.896        5.846            3      826.943     1020.815      367.756
      314        4.149        5.723            3      810.850      944.024      336.331
      315        4.703        5.989            2      865.407      970.866      338.337
      316        4.968        5.858            3      835.685      872.669      337.186
      317        5.292        6.131            3      878.728      956.318      376.261
      318        5.420        6.302            4      901.254      994.623      371.713
      319        5.195        6.233            3      887.170      987.559      334.648
      320        5.016        6.238            5      872.014      974.958      298.555
      321        5.075        6.485            2      902.262     1049.894      321.049
      322        4.833        6.253            3      869.742      847.033      364.344
      323        5.221        6.266            4      864.847      882.112      357.438
      324        5.212        6.304            3      876.537      840.504      372.669
      325        5.797        6.438            2      878.213      827.090      385.565
      326        5.608        6.429            3      889.413      842.323      394.109
      327        5.503        6.489            4      885.524      919.885      325.097
      328        4.797        6.010            4      853.910      816.326      306.885
      329        5.209        6.143            4      847.243      860.403      337.625
      330        5.296        6.358            3      876.973      933.758      333.259
      331        5.245        6.264            4      879.646      946.484      342.456
      332        5.090        6.308            4      883.441      916.858      348.991
      333        4.944        6.423            4      906.176     1018.701      357.352
      334        5.269        6.356            4      903.584     1027.940      340.442
      335        5.074        6.418            2      915.152     1064.536      331.973
      336        4.981        6.151            4      867.010      971.096      311.322
      337        5.275        6.170            4      870.817      976.042      333.064
      338        4.986        6.282            4      882.617      969.924      352.803
      339        5.052        6.267            4      891.067      924.764      352.424
      340        4.992        6.398            2      901.919      873.381      362.008
      341        4.859        6.287            2      887.555      949.219      370.109
      342        4.925        5.972            3      841.906      819.260      361.700
      343        4.831        6.036            4      871.690      924.790      355.330
      344        4.692        6.031            2      873.466      956.020      354.994
      345        4.596        6.051            4      858.094      910.329      353.110
      346        4.726        6.256            2      869.536      838.087      333.743
      347        4.429        6.219            3      848.299      876.666      352.221
      348        4.914        6.293            2      858.954      879.414      340.184
      349        4.810        6.197            3      830.712      724.007      360.560
      350        4.540        6.296            3      862.795      759.131      360.308
      351        4.575        6.125            4      822.082      764.242      311.332
      352        4.418        6.231            3      832.481      793.596      317.014
      353        4.396        6.002            5      832.565      866.183      316.830
      354        4.572        6.104            3      812.647      776.944      326.943
      355        4.616        6.075            4      804.485      762.907      302.209
      356        4.486        6.351            3      847.653      788.507      373.410
      357        4.711        6.201            4      847.355      775.408      352.924
      358        5.199        6.067            4      842.510      818.897      364.461
      359        5.031        6.071            3      832.928      755.375      400.548
      360        4.994        6.055            2      829.122      751.835      387.144
      361        5.117        6.027            3      820.032      759.547      361.410
      362        4.923        6.230            1      840.044      799.088      386.402
      363        4.613        6.200            1      854.346      810.966      375.029
      364        4.600        6.149            2      854.446      823.005      353.994
      365        4.712        6.027            3      839.302      780.068      340.082
      366        4.857        6.153            2      841.959      786.442      368.984
      367        4.727        6.200            3      834.260      778.590      385.258
      368        4.803        6.025            2      831.038      754.932      345.820
      369        4.853        6.192            2      860.041      749.049      367.456
      370        4.912        6.076            2      826.645      739.340      364.013
      371        4.865        6.247            2      839.795      770.971      373.978
      372        4.917        6.121            2      826.994      768.758      378.752
      373        4.962        6.030            2      817.174      732.616      320.377
      374        4.976        6.182            2      831.759      755.251      361.440
      375        5.012        6.036            2      818.794      722.745      346.972
      376        4.856        6.032            3      831.871      750.657      322.129
      377        4.627        6.144            4      846.026      727.454      319.537
      378        4.772        6.174            2      840.438      737.873      347.143
      379        4.590        5.999            3      803.815      732.333      308.380
      380        4.673        5.937            4      822.142      776.118      321.612
      381        4.736        6.030            4      828.672      739.690      310.972
      382        4.955        6.003            3      843.672      765.932      339.781
      383        4.886        6.103            3      852.879      850.274      337.459
      384        4.672        6.093            2      835.679      812.916      313.839
      385        4.850        5.908            1      844.758      803.897      333.860
      386        4.986        6.057            3      865.311      855.362      343.846
      387        4.740        6.090            4      863.098      875.053      337.756
      388        4.820        6.037            4      846.071      819.028      333.166
      389        4.876        6.085            3      841.519      823.320      335.568
      390        4.723        6.014            5      828.084      774.950      314.035
      391        4.700        6.150            4      842.175      783.519      321.597
      392        4.874        6.165            4      844.988      845.960      337.059
      393        4.873        6.106            2      858.191      801.792      353.770
      394        4.894        6.045            3      845.160      791.087      313.257
      395        4.893        5.950            4      818.363      736.184      308.177
      396        4.768        5.915            5      839.957      780.226      307.100
      397        4.979        5.860            4      827.085      784.402      324.054
      398        4.843        6.038            2      829.460      720.454      336.346
      399        4.715        5.921            3      830.866      815.699      331.846
      400        4.788        5.834            4      825.336      766.499      315.851
      401        5.090        5.969            3      827.329      785.525      355.513
