  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      475        3.113        6.816            2      869.679      710.919      423.261
      476        3.255        6.908            2      895.408      730.286      418.144
      477        3.738        6.560            1      902.200      766.480      424.836
      478        3.859        6.788            1      908.128      793.819      457.074
      479        3.591        6.359            2      897.245      692.786      407.057
      480        3.819        6.108            3      861.049      733.662      351.689
      481        3.907        6.796            3      873.369      760.730      433.554
      482        3.474        6.450            1      867.018      741.383      415.865
      483        3.958        6.714            2      894.053      823.135      442.426
      484        3.844        6.626            2      888.718      808.042      436.690
      485        3.452        6.491            2      874.205      731.416      417.393
      486        3.841        6.541            2      871.711      737.357      434.559
      487        3.837        6.217            2      837.511      776.168      401.067
      488        3.608        6.837            2      872.018      750.186      415.643
      489        3.427        6.607            1      882.975      743.581      397.983
      490        3.698        6.471            2      869.083      705.355      406.907
      491        3.828        6.765            1      870.669      683.933      425.157
      492        3.716        6.985            2      891.778      744.010      434.181
      493        3.537        6.904            1      939.581      731.494      423.711
      494        3.636        7.368            2      880.734      725.577      427.589
      495        3.570        7.517            3      901.597      789.074      427.633
      496        3.889        7.624            2      884.705      828.219      429.412
      497        3.661        7.096            2      864.359      704.656      424.792
      498        3.799        6.963            1      863.922      703.543      415.324
      499        3.867        6.644            2      832.638      715.242      389.590
      500        3.997        7.274            1      897.544      851.457      433.146
      501        3.946        7.088            1      899.580      855.727      434.720
