## Torsion are defined with the following atomIDs:
# dihed1: ai= 19068 aj= 19028 ak= 19026 al= 19025
# dihed2: ai= 19028 aj= 19026 ak= 19025 al= 19024
# dihed3: ai= 19026 aj= 19025 ak= 19024 al= 19023
# dihed4: ai= 19025 aj= 19024 ak= 19023 al= 19019
# dihed5: ai= 19024 aj= 19023 ak= 19019 al= 19018
# dihed6: ai= 19023 aj= 19019 ak= 19018 al= 19017
# dihed7: ai= 19023 aj= 19019 ak= 19020 al= 19021
# dihed8: ai= 19019 aj= 19018 ak= 19017 al= 19030
# dihed9: ai= 19036 aj= 19031 ak= 19032 al= 19033
# dihed10: ai= 19031 aj= 19032 ak= 19033 al= 19035
# dihed11: ai= 19032 aj= 19033 ak= 19035 al= 19073
# dihed12: ai= 19016 aj= 19015 ak= 19014 al= 19013
# dihed13: ai= 19015 aj= 19014 ak= 19013 al= 19037
# dihed14: ai= 19038 aj= 19010 ak= 19009 al= 19008
# dihed15: ai= 19010 aj= 19009 ak= 19008 al= 19007
# dihed16: ai= 19009 aj= 19008 ak= 19007 al= 19006
# dihed17: ai= 19008 aj= 19007 ak= 19006 al= 19005
# dihed18: ai= 19041 aj= 19004 ak= 19003 al= 19002
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15  dihed16  dihed17  dihed18
112  176.053    2.692 -161.133 -131.640   81.232  -79.780   71.666   -6.503   -6.546   -8.966  -14.730   -1.943  -61.437   95.873  173.635  130.260 -114.211 -139.625
113  172.902    9.971  171.590 -125.176   82.804  -83.871   82.807  -13.419   -1.767   -3.037  -11.295   23.341  -95.128   73.727 -178.644  163.563  -96.860  177.209
114  156.521  -12.712 -167.919 -109.153   82.284 -106.565   85.492   20.395  -15.466  -15.633   -2.807   27.688  -87.330   67.562  166.241  130.389  -73.791 -167.117
115 -174.634   -2.040 -157.676 -121.176   75.149 -105.364   68.717    9.997  -16.093   -8.739    5.613   29.482  -81.386   57.397 -168.895  159.535 -111.487 -155.022
116 -172.977    3.822  178.125 -106.699   82.500  -98.019   76.046   -0.133   -6.948    8.452   -6.761   -3.712  -77.011  108.257  174.966  104.960 -100.322  172.032
117  175.962  -18.068  176.701 -138.956   97.072  -85.262  -22.370   -3.557   -6.813   -5.619    2.430  -12.471  -70.274   69.911  176.927   99.346 -103.520  -33.422
118  172.283    8.431  177.662 -118.752   75.710 -107.040   70.177   15.841  -20.233  -12.817   10.538   24.456  -83.349   64.289  174.526  158.343  -95.643   27.955
119 -170.460   -2.244 -176.916 -145.809   96.815  -80.483   69.276  -21.043    9.051  -14.902  -16.856    7.569  -86.107   59.140 -167.157  168.207 -112.170  -11.203
120  172.620   -5.599 -154.738 -116.648   65.971  -96.429   90.127   17.665  -32.275    0.463    6.862   12.287  -69.584  111.781  174.798  106.167 -123.823   32.947
121 -148.541   -3.216 -167.102 -117.715   72.196 -108.061   99.150   26.148  -21.361   -7.018   11.062   19.182  -85.270   78.265 -176.718  155.827 -105.377   -6.794
122 -173.053  -11.957 -166.140 -129.302   71.333  -91.896   76.543   17.592  -10.746   -4.451  -12.265   10.611  -78.868   66.220  163.160  118.067  -95.521    9.487
123 -179.662   -2.998 -175.958 -116.919   76.412 -123.090  107.147   25.753   -8.582  -21.794    7.731   20.730  -85.403   72.278  176.498  164.340  -69.566  -28.036
124  155.500    4.538  171.641 -122.384   86.018  -94.568   81.307   17.934   -9.076  -10.127    2.176  -40.128  -66.929  135.385 -175.634  100.617  -74.061   28.352
125  175.055    1.326  170.655 -116.250   88.647  -95.001  -16.903   10.642    9.123   -7.249    1.533   -7.504  -85.450  167.844  172.021   89.936  -70.468   10.769
